variable,missing_count,missing_percentage,data_type
YY1,0,0.0,int64
Y1,0,0.0,int64
WGT,0,0.0,float64
HHSEX,0,0.0,int64
AGE,0,0.0,int64
AGECL,0,0.0,int64
EDUC,0,0.0,int64
EDCL,0,0.0,int64
MARRIED,0,0.0,int64
KIDS,0,0.0,int64
LF,0,0.0,int64
LIFECL,0,0.0,int64
FAMSTRUCT,0,0.0,int64
RACECL,0,0.0,int64
RACECL4,0,0.0,int64
RACECL5,0,0.0,int64
RACECL_EX,0,0.0,int64
RACE,0,0.0,int64
OCCAT1,0,0.0,int64
OCCAT2,0,0.0,int64
INDCAT,0,0.0,int64
FOODHOME,0,0.0,int64
FOODAWAY,0,0.0,int64
FOODDELV,0,0.0,int64
RENT,0,0.0,float64
INCOME,0,0.0,float64
WAGEINC,0,0.0,float64
BUSSEFARMINC,0,0.0,float64
INTDIVINC,0,0.0,float64
KGINC,0,0.0,float64
SSRETINC,0,0.0,float64
TRANSFOTHINC,0,0.0,float64
PENACCTWD,0,0.0,float64
NORMINC,0,0.0,float64
WSAVED,0,0.0,int64
SAVED,0,0.0,int64
SAVRES1,0,0.0,int64
SAVRES2,0,0.0,int64
SAVRES3,0,0.0,int64
SAVRES4,0,0.0,int64
SAVRES5,0,0.0,int64
SAVRES6,0,0.0,int64
SAVRES7,0,0.0,int64
SAVRES8,0,0.0,int64
SAVRES9,0,0.0,int64
SPENDMOR,0,0.0,int64
SPENDLESS,0,0.0,int64
EXPENSHILO,0,0.0,int64
LATE,0,0.0,int64
LATE60,0,0.0,int64
HPAYDAY,0,0.0,int64
BNKRUPLAST5,0,0.0,int64
KNOWL,0,0.0,int64
YESFINRISK,0,0.0,int64
NOFINRISK,0,0.0,int64
CRDAPP,0,0.0,int64
TURNDOWN,0,0.0,int64
FEARDENIAL,0,0.0,int64
TURNFEAR,0,0.0,int64
FORECLLAST5,0,0.0,int64
EMERGBORR,0,0.0,int64
EMERGSAV,0,0.0,int64
EMERGPSTP,0,0.0,int64
EMERGCUT,0,0.0,int64
EMERGWORK,0,0.0,int64
HBORRFF,0,0.0,int64
HBORRCC,0,0.0,int64
HBORRALT,0,0.0,int64
HBORRFIN,0,0.0,int64
HSAVFIN,0,0.0,int64
HSAVNFIN,0,0.0,int64
HPSTPPAY,0,0.0,int64
HPSTPLN,0,0.0,int64
HPSTPOTH,0,0.0,int64
HCUTFOOD,0,0.0,int64
HCUTENT,0,0.0,int64
HCUTOTH,0,0.0,int64
FINLIT,0,0.0,int64
BSHOPNONE,0,0.0,int64
BSHOPGRDL,0,0.0,int64
BSHOPMODR,0,0.0,int64
ISHOPNONE,0,0.0,int64
ISHOPGRDL,0,0.0,int64
ISHOPMODR,0,0.0,int64
BCALL,0,0.0,int64
BMAGZNEWS,0,0.0,int64
BMAILADTV,0,0.0,int64
BINTERNET,0,0.0,int64
BFRIENDWORK,0,0.0,int64
BFINPRO,0,0.0,int64
BSELF,0,0.0,int64
BDONT,0,0.0,int64
BOTHER,0,0.0,int64
ICALL,0,0.0,int64
IMAGZNEWS,0,0.0,int64
IMAILADTV,0,0.0,int64
IINTERNET,0,0.0,int64
IFRIENDWORK,0,0.0,int64
IFINPRO,0,0.0,int64
ISELF,0,0.0,int64
IDONT,0,0.0,int64
IOTHER,0,0.0,int64
BFINPLAN,0,0.0,int64
IFINPLAN,0,0.0,int64
INTERNET,0,0.0,int64
CHECKING,0,0.0,int64
HCHECK,0,0.0,int64
NOCHK,0,0.0,int64
EHCHKG,0,0.0,int64
WHYNOCKG,0,0.0,int64
DONTWRIT,0,0.0,int64
MINBAL,0,0.0,int64
DONTLIKE,0,0.0,int64
SVCCHG,0,0.0,int64
CANTMANG,0,0.0,int64
NOMONEY,0,0.0,int64
CREDIT,0,0.0,int64
DONTWANT,0,0.0,int64
OTHER,0,0.0,int64
CKLOCATION,0,0.0,int64
CKLOWFEEBAL,0,0.0,int64
CKMANYSVCS,0,0.0,int64
CKRECOMFRND,0,0.0,int64
CKPERSONAL,0,0.0,int64
CKCONNECTN,0,0.0,int64
CKLONGTIME,0,0.0,int64
CKSAFETY,0,0.0,int64
CKCONVPAYRL,0,0.0,int64
CKOTHCHOOSE,0,0.0,int64
PREPAID,0,0.0,int64
SAVING,0,0.0,int64
HSAVING,0,0.0,int64
MMDA,0,0.0,int64
MMMF,0,0.0,int64
MMA,0,0.0,int64
HMMA,0,0.0,int64
CALL,0,0.0,int64
HCALL,0,0.0,int64
LIQ,0,0.0,int64
HLIQ,0,0.0,int64
CDS,0,0.0,int64
HCDS,0,0.0,int64
STMUTF,0,0.0,int64
TFBMUTF,0,0.0,int64
GBMUTF,0,0.0,int64
OBMUTF,0,0.0,int64
COMUTF,0,0.0,int64
OMUTF,0,0.0,int64
NMMF,0,0.0,int64
HNMMF,0,0.0,int64
STOCKS,0,0.0,int64
HSTOCKS,0,0.0,int64
NSTOCKS,0,0.0,int64
WILSH,0,0.0,int64
NOTXBND,0,0.0,int64
MORTBND,0,0.0,int64
GOVTBND,0,0.0,int64
OBND,0,0.0,int64
BOND,0,0.0,int64
HBOND,0,0.0,int64
IRAKH,0,0.0,int64
THRIFT,0,0.0,int64
FUTPEN,0,0.0,int64
CURRPEN,0,0.0,int64
RETQLIQ,0,0.0,int64
HRETQLIQ,0,0.0,int64
ANYPEN,0,0.0,int64
DBPLANCJ,0,0.0,int64
DCPLANCJ,0,0.0,int64
DBPLANT,0,0.0,int64
BPLANCJ,0,0.0,int64
SAVBND,0,0.0,int64
HSAVBND,0,0.0,int64
CASHLI,0,0.0,int64
HCASHLI,0,0.0,int64
ANNUIT,0,0.0,int64
TRUSTS,0,0.0,int64
OTHMA,0,0.0,int64
HOTHMA,0,0.0,int64
OTHFIN,0,0.0,int64
HOTHFIN,0,0.0,int64
EQUITY,0,0.0,float64
HEQUITY,0,0.0,int64
DEQ,0,0.0,int64
RETEQ,0,0.0,float64
EQUITINC,0,0.0,float64
HBROK,0,0.0,int64
HTRAD,0,0.0,int64
NTRAD,0,0.0,int64
FIN,0,0.0,int64
HFIN,0,0.0,int64
VEHIC,0,0.0,int64
HVEHIC,0,0.0,int64
BUSVEH,0,0.0,int64
NBUSVEH,0,0.0,int64
OWN,0,0.0,int64
NOWN,0,0.0,int64
LEASE,0,0.0,int64
NLEASE,0,0.0,int64
VLEASE,0,0.0,int64
NVEHIC,0,0.0,int64
NEWCAR1,0,0.0,int64
NEWCAR2,0,0.0,int64
FARMBUS,0,0.0,int64
HOUSES,0,0.0,int64
HHOUSES,0,0.0,int64
HOUSECL,0,0.0,int64
ORESRE,0,0.0,int64
HORESRE,0,0.0,int64
NNRESRE,0,0.0,float64
HNNRESRE,0,0.0,int64
BUS,0,0.0,int64
ACTBUS,0,0.0,int64
NONACTBUS,0,0.0,int64
HBUS,0,0.0,int64
OTHNFIN,0,0.0,int64
HOTHNFIN,0,0.0,int64
NFIN,0,0.0,float64
HNFIN,0,0.0,int64
NHNFIN,0,0.0,float64
ASSET,0,0.0,float64
HASSET,0,0.0,int64
HELOC,0,0.0,int64
MRTHEL,0,0.0,int64
NH_MORT,0,0.0,int64
HOMEEQ,0,0.0,int64
HMRTHEL,0,0.0,int64
HHELOC,0,0.0,int64
HNH_MORT,0,0.0,int64
HPRIM_MORT,0,0.0,int64
PURCH1,0,0.0,int64
REFIN_EVER,0,0.0,int64
HEXTRACT_EVER,0,0.0,int64
HSEC_MORT,0,0.0,int64
PURCH2,0,0.0,int64
HMORT2,0,0.0,int64
HELOC_YN,0,0.0,int64
OTHLOC,0,0.0,int64
HOTHLOC,0,0.0,int64
MORT1,0,0.0,int64
MORT2,0,0.0,int64
MORT3,0,0.0,int64
RESDBT,0,0.0,int64
HRESDBT,0,0.0,int64
CCBAL,0,0.0,int64
NOCCBAL,0,0.0,int64
HCCBAL,0,0.0,int64
BNPL,0,0.0,int64
NOBNPL,0,0.0,int64
HBNPL,0,0.0,int64
VEH_INST,0,0.0,int64
EDN_INST,0,0.0,int64
INSTALL,0,0.0,int64
OTH_INST,0,0.0,int64
HVEH_INST,0,0.0,int64
HEDN_INST,0,0.0,int64
HOTH_INST,0,0.0,int64
HINSTALL,0,0.0,int64
ODEBT,0,0.0,int64
HODEBT,0,0.0,int64
DEBT,0,0.0,int64
HDEBT,0,0.0,int64
NETWORTH,0,0.0,float64
LEVRATIO,0,0.0,float64
DEBT2INC,0,0.0,float64
KGHOUSE,0,0.0,float64
KGORE,0,0.0,float64
KGBUS,0,0.0,float64
FARMBUS_KG,0,0.0,float64
KGSTMF,0,0.0,int64
KGTOTAL,0,0.0,float64
PAYMORT1,0,0.0,float64
PAYMORT2,0,0.0,float64
PAYMORT3,0,0.0,float64
PAYMORTO,0,0.0,int64
PAYLOC1,0,0.0,float64
PAYLOC2,0,0.0,float64
PAYLOC3,0,0.0,int64
PAYLOCO,0,0.0,float64
PAYHI1,0,0.0,int64
PAYHI2,0,0.0,int64
PAYLC1,0,0.0,float64
PAYLC2,0,0.0,float64
PAYLCO,0,0.0,int64
PAYORE1,0,0.0,float64
PAYORE2,0,0.0,int64
PAYOREV,0,0.0,float64
PAYORE3,0,0.0,int64
PAYVEH1,0,0.0,float64
PAYVEH2,0,0.0,float64
PAYVEH3,0,0.0,int64
PAYVEH4,0,0.0,int64
PAYVEHM,0,0.0,int64
PAYVEO1,0,0.0,float64
PAYVEO2,0,0.0,int64
PAYVEOM,0,0.0,int64
PAYEDU1,0,0.0,float64
PAYEDU2,0,0.0,int64
PAYEDU3,0,0.0,float64
PAYEDU4,0,0.0,int64
PAYEDU5,0,0.0,int64
PAYEDU6,0,0.0,int64
PAYEDU7,0,0.0,int64
PAYILN1,0,0.0,float64
PAYILN2,0,0.0,float64
PAYILN3,0,0.0,float64
PAYILN4,0,0.0,int64
PAYILN5,0,0.0,int64
PAYILN6,0,0.0,int64
PAYILN7,0,0.0,int64
PAYMARG,0,0.0,float64
PAYINS,0,0.0,float64
PAYPEN1,0,0.0,float64
PAYPEN2,0,0.0,float64
PAYPEN3,0,0.0,int64
PAYPEN4,0,0.0,float64
PAYPEN5,0,0.0,int64
PAYPEN6,0,0.0,int64
TPAY,0,0.0,float64
MORTPAY,0,0.0,float64
CONSPAY,0,0.0,float64
REVPAY,0,0.0,float64
PIRTOTAL,0,0.0,float64
PIRMORT,0,0.0,float64
PIRCONS,0,0.0,float64
PIRREV,0,0.0,float64
PIR40,0,0.0,int64
PLOAN1,0,0.0,int64
PLOAN2,0,0.0,int64
PLOAN3,0,0.0,int64
PLOAN4,0,0.0,int64
PLOAN5,0,0.0,int64
PLOAN6,0,0.0,int64
PLOAN7,0,0.0,int64
PLOAN8,0,0.0,int64
LLOAN1,0,0.0,int64
LLOAN2,0,0.0,int64
LLOAN3,0,0.0,int64
LLOAN4,0,0.0,int64
LLOAN5,0,0.0,int64
LLOAN6,0,0.0,int64
LLOAN7,0,0.0,int64
LLOAN8,0,0.0,int64
LLOAN9,0,0.0,int64
LLOAN10,0,0.0,int64
LLOAN11,0,0.0,int64
LLOAN12,0,0.0,int64
NWCAT,0,0.0,int64
INCCAT,0,0.0,int64
ASSETCAT,0,0.0,int64
NINCCAT,0,0.0,int64
NINC2CAT,0,0.0,int64
NWPCTLECAT,0,0.0,int64
INCPCTLECAT,0,0.0,int64
NINCPCTLECAT,0,0.0,int64
INCQRTCAT,0,0.0,int64
NINCQRTCAT,0,0.0,int64
